Unit Number,Unit Type,Status,Customer,On/Off Hire Date,On/Off Hire City,Year Of Manuf
,,,,,,12 - 2011
,40' Open Top,On Hire,CMA CGM,12-07-2012,Changzhou Manuf,12 - 2011
SEGU7300014,40' Open Top,On Hire,CMA CGM,15-12-2017,Busan,12 - 2011
SEGU7300020,40' Open Top,On Hire,CMA CGM,12-07-2012,Changzhou Manuf,12 - 2011
SEGU7300035,40' Open Top,On Hire,CMA CGM,05-07-2012,Changzhou Manuf,12 - 2011
SEGU7300040,40' Open Top,On Hire,CMA CGM,05-07-2012,Changzhou Manuf,12 - 2011
SEGU7300056,40' Open Top,On Hire,CMA CGM,12-07-2012,Changzhou Manuf,12 - 2011
SEGU7300061,40' Open Top,On Hire,CMA CGM,12-07-2012,Changzhou Manuf,12 - 2011
SEGU7300077,40' Open Top,On Hire,CMA CGM,12-07-2012,Changzhou Manuf,12 - 2011
SEGU7300082,40' Open Top,On Hire,CJ ICM FZCO,05-12-2020,Port Klang,12 - 2011
SEGU7300098,40' Open Top,On Hire,CMA CGM,12-07-2012,Changzhou Manuf,12 - 2011
SEGU7300101,40' Open Top,On Hire,CMA CGM,12-07-2012,Changzhou Manuf,12 - 2011
